transaction_id;customer_id;full_name;product_name;channel;branch_id;province;transaction_date;amount;is_outlier;gender;age;segment;avg_balance;cc_limit
T2_000154;C2_001832;Bahuwarna Astuti, S.Farm;Deposito;Teller;B2_026;Riau;03/05/2025;498517946;TRUE;L;44;Priority;650620539;50000000
T2_002049;C2_001832;Bahuwarna Astuti, S.Farm;Kredit Konsumer;ATM;B2_001;Riau;06/12/2023;339181496;FALSE;L;44;Priority;650620539;50000000
T2_002252;C2_001832;Bahuwarna Astuti, S.Farm;Kredit Mikro;EDC;B2_006;Riau;21/03/2023;219098155;FALSE;L;44;Priority;650620539;50000000
T2_000175;C2_000017;Elisa Pratiwi;Tabungan;Teller;B2_030;Sulawesi Selatan;26/05/2024;497269804;TRUE;L;56;Priority;670296648;100000000
T2_001910;C2_000002;Panji Lailasari;Kredit Mikro;ATM;B2_003;Jawa Barat;25/02/2024;90200030;FALSE;L;52;Priority;688798071;100000000
T2_002268;C2_000002;Panji Lailasari;Kredit Mikro;Teller;B2_008;Jawa Barat;05/10/2023;148492124;FALSE;L;52;Priority;688798071;100000000
T2_000413;C2_001261;Umi Sihombing;Tabungan;ATM;B2_021;Bali;16/05/2025;499990391;TRUE;P;61;Priority;523643290;100000000
T2_000059;C2_001261;Umi Sihombing;Kartu Kredit;Teller;B2_021;Bali;08/11/2023;94328051;FALSE;P;61;Priority;523643290;100000000
T2_000079;C2_001261;Umi Sihombing;Kredit Mikro;Internet Banking;B2_024;Bali;26/11/2023;231261370;FALSE;P;61;Priority;523643290;100000000
T2_001605;C2_001261;Umi Sihombing;Kredit Konsumer;ATM;B2_021;Bali;23/02/2024;339318562;FALSE;P;61;Priority;523643290;100000000
T2_000501;C2_000003;Kariman Thamrin;Kartu Kredit;Teller;B2_016;Bali;13/09/2023;32240284;FALSE;P;41;Priority;674042970;20000000
T2_000541;C2_000034;Johan Adriansyah;Kredit Mikro;Internet Banking;B2_023;Jawa Barat;22/05/2023;496567056;TRUE;L;44;Priority;579307382;50000000
T2_000761;C2_000034;Johan Adriansyah;Kredit Konsumer;EDC;B2_006;Jawa Barat;16/10/2024;113467951;FALSE;L;44;Priority;579307382;50000000
T2_000448;C2_000004;Darmaji Dabukke;Kartu Kredit;Teller;B2_003;DKI Jakarta;29/07/2025;162689656;FALSE;L;26;Priority;771146801;50000000
T2_000681;C2_000004;Darmaji Dabukke;Deposito;Internet Banking;B2_003;DKI Jakarta;23/08/2023;374077162;FALSE;L;26;Priority;771146801;50000000
T2_000710;C2_002882;Aslijan Hidayanto;Kredit Mikro;Mobile Banking;B2_015;DKI Jakarta;07/01/2023;497805492;TRUE;P;46;Priority;505273511;100000000
T2_000797;C2_000668;Faizah Firmansyah;Kredit Konsumer;Internet Banking;B2_010;Sulawesi Selatan;26/08/2025;497315301;TRUE;P;43;Priority;237349893;100000000
T2_001354;C2_000668;Faizah Firmansyah;Kredit Konsumer;ATM;B2_003;Sulawesi Selatan;04/10/2023;386868506;FALSE;P;43;Priority;237349893;100000000
T2_001732;C2_000668;Faizah Firmansyah;Kartu Kredit;EDC;B2_003;Sulawesi Selatan;27/10/2023;322122748;FALSE;P;43;Priority;237349893;100000000
T2_002935;C2_000006;Saiful Kuswoyo;Kredit Konsumer;EDC;B2_018;Sulawesi Selatan;20/01/2023;412535408;FALSE;L;49;Priority;120499593;100000000
T2_000801;C2_000243;Hasna Wijayanti;Kredit Mikro;Teller;B2_020;Riau;26/05/2024;499959512;TRUE;L;47;Priority;388446412;50000000
T2_000874;C2_000243;Hasna Wijayanti;Tabungan;Internet Banking;B2_004;Riau;27/02/2025;282665875;FALSE;L;47;Priority;388446412;50000000
T2_001445;C2_000243;Hasna Wijayanti;Kredit Konsumer;EDC;B2_025;Riau;23/03/2025;67130653;FALSE;L;47;Priority;388446412;50000000
T2_000914;C2_001202;Dr. Puti Kuswandari, S.Kom;Kartu Kredit;Teller;B2_022;DI Yogyakarta;05/12/2023;499173327;TRUE;L;27;Priority;767753309;100000000
T2_001013;C2_002093;Dr. Restu Sudiati;Tabungan;EDC;B2_028;Sumatera Utara;03/03/2025;497230317;TRUE;L;46;Priority;803096611;50000000
T2_004529;C2_002093;Dr. Restu Sudiati;Kredit Konsumer;Mobile Banking;B2_029;Sumatera Utara;17/09/2023;499891759;TRUE;L;46;Priority;803096611;50000000
T2_002634;C2_002093;Dr. Restu Sudiati;Kredit Mikro;Teller;B2_008;Sumatera Utara;15/02/2024;118892566;FALSE;L;46;Priority;803096611;50000000
