customer_id,full_name,gender,age,province,segment,avg_balance,cc_limit
C2_000001,Mitra Najmudin,L,53,Bali,Priority,995397863,50000000
C2_000002,Panji Lailasari,L,52,Jawa Barat,Priority,688798071,100000000
C2_000003,Kariman Thamrin,P,41,Bali,Priority,674042970,20000000
C2_000004,Darmaji Dabukke,L,26,DKI Jakarta,Priority,771146801,50000000
C2_000005,Irnanto Namaga,P,30,Riau,Priority,785373995,50000000
C2_000006,Saiful Kuswoyo,L,49,Sulawesi Selatan,Priority,120499593,100000000
C2_000007,Belinda Prastuti,P,43,Sumatera Utara,Priority,351459272,50000000
C2_000008,Mahfud Putra,P,30,Sumatera Barat,Priority,650130945,50000000
"C2_000009,""Bakda Sihombing, S.Pd"",L,25,DI Yogyakarta,Priority,348816375,20000000"
C2_000010,Pangeran Padmasari,L,58,Sumatera Barat,Priority,810384885,20000000
C2_000011,Farah Maheswara,L,45,DKI Jakarta,Priority,827863113,100000000
"C2_000012,""Mulyono Permata, S.Kom"",L,45,DI Yogyakarta,Priority,355671192,50000000"
C2_000013,Lala Pudjiastuti,P,51,Bali,Priority,103876711,20000000
C2_000014,Tira Budiyanto,L,47,Sulawesi Selatan,Priority,803370052,100000000
C2_000015,Muni Habibi,P,60,Sumatera Utara,Priority,510621589,20000000
"C2_000016,""R. Pranata Hardiansyah, S.Sos"",P,60,Jawa Tengah,Priority,83631684,100000000"
C2_000017,Elisa Pratiwi,L,56,Sulawesi Selatan,Priority,670296648,100000000
C2_000018,Tgk. Melinda Aryani,L,63,Sulawesi Selatan,Priority,446306442,50000000
C2_000019,Maida Nurdiyanti,P,41,Jawa Barat,Priority,112025643,100000000
C2_000020,Yunita Setiawan,P,38,Riau,Priority,731542916,100000000
"C2_000021,""Tgk. Malika Utama, M.Kom."",L,46,DKI Jakarta,Priority,467454597,20000000"
"C2_000022,""Restu Napitupulu, M.Ak"",L,41,Sulawesi Selatan,Priority,503961952,100000000"
"C2_000023,""Janet Ardianto, M.Ak"",P,53,DKI Jakarta,Priority,235783567,100000000"
C2_000024,Bagiya Puspasari,L,62,Sulawesi Selatan,Priority,76643191,20000000
C2_000025,Hj. Alika Napitupulu,P,50,Jawa Barat,Priority,537503917,20000000
C2_000026,Jasmin Marbun,P,55,Jawa Timur,Priority,713937431,20000000
C2_000027,Banara Mangunsong,P,58,DKI Jakarta,Priority,965038221,20000000
"C2_000028,""Tgk. Fitriani Irawan, S.Sos"",L,51,Bali,Priority,753660567,50000000"
"C2_000029,""Ana Prasetya, M.Farm"",P,41,Sumatera Barat,Priority,802611692,50000000"
C2_000030,Opan Sihombing,L,47,Sulawesi Selatan,Priority,251998589,100000000
C2_000031,Jessica Prakasa,L,58,Jawa Barat,Priority,881867723,20000000
"C2_000032,""Hardana Permata, S.Ked"",P,42,Jawa Timur,Priority,987555350,50000000"
"C2_000033,""Jail Prastuti, S.Kom"",P,45,Jawa Tengah,Priority,631936901,100000000"
C2_000034,Johan Adriansyah,L,44,Jawa Barat,Priority,579307382,50000000
C2_000035,Ulva Wacana,L,56,Bali,Priority,948109928,50000000
C2_000036,Kezia Pertiwi,L,36,DKI Jakarta,Priority,748183444,50000000
C2_000037,Fitriani Rajata,L,28,Sumatera Barat,Priority,210844911,100000000
"C2_000038,""Irma Simbolon, M.Farm"",P,33,Bali,Priority,556720456,50000000"
C2_000039,KH. Warta Mangunsong,L,35,DI Yogyakarta,Priority,625855917,100000000
"C2_000040,""Ir. Gara Wijayanti, M.M."",L,54,Jawa Timur,Priority,119795944,20000000"
C2_000041,Hadi Agustina,L,50,Jawa Barat,Priority,464236899,20000000
"C2_000042,""Anita Wijaya, S.Psi"",P,56,Sumatera Barat,Priority,789614120,20000000"
C2_000043,Warta Yuliarti,L,52,Bali,Priority,949439079,20000000
C2_000044,Harimurti Wacana,L,64,Bali,Priority,813938797,50000000
C2_000045,Dt. Hendri Hariyah,L,61,Jawa Tengah,Priority,103835450,50000000
C2_000046,Rina Wulandari,L,40,DKI Jakarta,Priority,692597316,20000000
C2_000047,Kani Prasetya,L,32,Sumatera Barat,Priority,276110319,100000000
C2_000048,Jasmani Pudjiastuti,P,27,Sumatera Utara,Priority,658298665,50000000
C2_000049,Jindra Hasanah,L,27,DKI Jakarta,Priority,449048670,50000000
"C2_000050,""Oman Puspasari, M.Ak"",P,34,Sumatera Barat,Priority,692696378,100000000"
C2_000051,Ratna Palastri,P,36,Sulawesi Selatan,Priority,453474338,100000000
C2_000052,Aswani Gunarto,L,39,Jawa Barat,Priority,547775144,100000000
"C2_000053,""Gamani Maryadi, S.Kom"",L,51,Sumatera Barat,Priority,514723266,20000000"
C2_000054,Lamar Prasetyo,P,35,Jawa Timur,Priority,538443218,20000000
C2_000055,Harto Nasyidah,P,30,Sumatera Barat,Priority,363630802,100000000
C2_000056,Vero Hutapea,P,36,Bali,Priority,532427712,20000000
C2_000057,Nasim Pratama,P,42,Jawa Barat,Priority,386603477,20000000
C2_000058,dr. Dinda Prakasa,P,49,Sumatera Utara,Priority,194991193,100000000
C2_000059,Drs. Gasti Astuti,L,58,Bali,Priority,674609614,50000000
C2_000060,Lembah Marpaung,L,50,DI Yogyakarta,Priority,760110866,20000000
C2_000061,Sarah Budiyanto,L,48,Riau,Priority,725437336,100000000
C2_000062,Jono Maheswara,P,40,DI Yogyakarta,Priority,649214758,100000000
C2_000063,Leo Gunarto,L,60,DKI Jakarta,Priority,72492927,100000000
C2_000064,Irma Prakasa,L,60,Jawa Tengah,Priority,728447326,50000000
C2_000065,Estiono Natsir,P,45,Sumatera Barat,Priority,725877469,100000000
C2_000066,Ganjaran Anggraini,L,54,Jawa Tengah,Priority,340221431,100000000
C2_000067,Vivi Melani,P,44,Sumatera Utara,Priority,835854112,50000000
"C2_000068,""dr. Luthfi Farida, S.Psi"",P,43,DKI Jakarta,Priority,174711159,100000000"
C2_000069,Sakura Prastuti,P,35,DI Yogyakarta,Priority,899785295,20000000
"C2_000070,""Vanya Simanjuntak, S.T."",L,38,DI Yogyakarta,Priority,544614951,50000000"
"C2_000071,""Raisa Winarno, S.Sos"",P,60,Riau,Priority,958293387,50000000"
C2_000072,Manah Widiastuti,L,40,DKI Jakarta,Priority,83215323,100000000
C2_000073,Kemba Siregar,P,27,Riau,Priority,987246365,20000000
C2_000074,Cahyo Dabukke,L,46,Sulawesi Selatan,Priority,659120247,50000000
C2_000075,Yahya Hassanah,P,29,Sumatera Barat,Priority,415078085,100000000
C2_000076,Qori Palastri,L,26,Sulawesi Selatan,Priority,511480617,100000000
C2_000077,Sakura Hutapea,P,36,Bali,Priority,415216141,50000000
C2_000078,Karsana Siregar,L,26,DI Yogyakarta,Priority,879712644,50000000
C2_000079,Raina Hartati,L,61,Bali,Priority,313927203,100000000
C2_000080,Ika Zulkarnain,L,43,Bali,Priority,271136314,50000000
C2_000081,Gamanto Wijaya,P,48,Jawa Barat,Priority,54719032,20000000
C2_000082,Siska Lazuardi,P,29,Sumatera Utara,Priority,207769430,20000000
"C2_000083,""Yance Nuraini, M.Kom."",L,50,Riau,Priority,964237243,100000000"
C2_000084,T. Ajimat Anggraini,L,52,Sumatera Barat,Priority,298442335,20000000
C2_000085,Tiara Wasita,L,59,Jawa Tengah,Priority,283853918,100000000
C2_000086,Simon Prastuti,P,43,Sumatera Barat,Priority,571084350,50000000
C2_000087,Darsirah Sitorus,L,55,DI Yogyakarta,Priority,65150000,50000000
C2_000088,Harsaya Rahayu,P,43,Sulawesi Selatan,Priority,403478336,100000000
C2_000089,Hj. Ayu Narpati,L,43,DKI Jakarta,Priority,479988720,100000000
C2_000090,Kania Suryatmi,P,44,Jawa Tengah,Priority,996463027,50000000
C2_000091,Cut Puti Pertiwi,L,41,DKI Jakarta,Priority,605862664,100000000
C2_000092,Rahmi Wastuti,P,36,Jawa Timur,Priority,267886242,20000000
C2_000093,Nadia Waluyo,P,59,Sulawesi Selatan,Priority,940446153,20000000
"C2_000094,""KH. Edi Suryono, S.IP"",L,50,Riau,Priority,668194800,20000000"
"C2_000095,""Candra Hutapea, S.E.I"",L,32,Sumatera Utara,Priority,617804687,50000000"
"C2_000096,""Dr. Najib Marbun, S.H."",L,64,Jawa Tengah,Priority,587977821,50000000"
C2_000097,Dr. Bakda Kuswandari,L,49,Sumatera Utara,Priority,565214496,50000000
C2_000098,Rama Saputra,L,49,Sumatera Barat,Priority,325667250,100000000
C2_000099,Ajiono Hutasoit,P,46,DI Yogyakarta,Priority,607857358,50000000
C2_000100,R.A. Gawati Handayani,P,37,Jawa Tengah,Priority,747912122,50000000
C2_000101,Ifa Firgantoro,P,39,Jawa Barat,Priority,916184318,20000000
C2_000102,Puti Faizah Narpati,L,47,Sumatera Barat,Priority,633956326,50000000
"C2_000103,""Kania Haryanto, S.Farm"",P,52,Jawa Tengah,Priority,230861383,100000000"
C2_000104,Laila Rajata,L,37,Sumatera Utara,Priority,416087659,100000000
"C2_000105,""Maria Kusumo, S.Pt"",P,56,Jawa Barat,Priority,158995969,20000000"
C2_000106,Ghani Saragih,P,35,Jawa Timur,Priority,591323078,20000000
C2_000107,Laila Wibowo,L,38,Jawa Timur,Priority,992084600,100000000
C2_000108,T. Rahmat Hartati,L,59,Riau,Priority,326529337,20000000
C2_000109,Michelle Irawan,L,59,Sumatera Barat,Priority,445287397,20000000
C2_000110,Wani Maulana,P,64,Sumatera Barat,Priority,126903485,100000000
C2_000111,Gamblang Safitri,P,47,Sulawesi Selatan,Priority,404377569,20000000
"C2_000112,""R. Opung Saputra, S.I.Kom"",P,64,Jawa Barat,Priority,676978072,100000000"
C2_000113,Kamal Permadi,L,37,Jawa Barat,Priority,500047814,100000000
C2_000114,Dirja Anggraini,P,30,Sulawesi Selatan,Priority,747738520,100000000
"C2_000115,""R.A. Maimunah Padmasari, S.Psi"",P,53,Sumatera Utara,Priority,804198138,20000000"
"C2_000116,""Karimah Salahudin, S.Sos"",P,39,DI Yogyakarta,Priority,201172929,100000000"
C2_000117,Iriana Prastuti,L,29,Jawa Tengah,Priority,609255321,50000000
"C2_000118,""Ir. Janet Firgantoro, S.Farm"",P,57,Jawa Tengah,Priority,343489379,50000000"
"C2_000119,""Jessica Ramadan, S.E.I"",P,64,Sumatera Utara,Priority,406600815,50000000"
"C2_000120,""Wage Januar, M.Farm"",P,26,DKI Jakarta,Priority,905602021,20000000"
C2_000121,Edi Hastuti,P,57,DI Yogyakarta,Priority,166009321,100000000
"C2_000122,""Unggul Kurniawan, S.I.Kom"",L,49,Bali,Priority,998676790,50000000"
"C2_000123,""Hartana Yolanda, S.T."",P,51,Riau,Priority,100948226,100000000"
C2_000124,Cici Natsir,L,49,DKI Jakarta,Priority,917653817,20000000
"C2_000125,""R. Sari Mulyani, S.Pt"",P,29,DKI Jakarta,Priority,466861578,20000000"
C2_000126,Drs. Nadia Yulianti,L,64,Jawa Barat,Priority,966651754,50000000
C2_000127,Ida Widodo,P,28,Sumatera Utara,Priority,109739796,20000000
C2_000128,Ir. Almira Hutapea,L,38,Sumatera Utara,Priority,210918570,20000000
"C2_000129,""Nova Novitasari, S.T."",P,41,Jawa Timur,Priority,734116995,100000000"
C2_000130,Gamani Winarno,P,51,DI Yogyakarta,Priority,557858244,100000000
C2_000131,Asmuni Halimah,P,60,Sulawesi Selatan,Priority,391826757,50000000
"C2_000132,""Unjani Tampubolon, S.Pt"",P,58,Bali,Priority,601920405,50000000"
C2_000133,Dacin Puspasari,L,34,Sumatera Barat,Priority,774863853,100000000
